Game ID,Puzzle Date,Word,Group Name,Group Level,Starting Row,Starting Column
1005,2024-10-31,OTTER,SEA ___,3,4,4
1005,2024-10-31,SHELL,SEA ___,3,2,3
1005,2024-10-31,TIGER,BIG CATS,0,1,1
1005,2024-10-31,JAGUAR,BIG CATS,0,3,3
1005,2024-10-31,LEOPARD,BIG CATS,0,2,4
1005,2024-10-31,LION,BIG CATS,0,4,2
1005,2024-10-31,MANE,PARTS OF A HORSE,1,1,3
1005,2024-10-31,SADDLE,PARTS OF A HORSE,1,3,4
1005,2024-10-31,HOOF,PARTS OF A HORSE,1,4,1
1005,2024-10-31,BRIDLE,PARTS OF A HORSE,1,2,2
1005,2024-10-31,EGG,THINGS WITH SHELLS,2,1,4
1005,2024-10-31,NUT,THINGS WITH SHELLS,2,3,2
1005,2024-10-31,TURTLE,THINGS WITH SHELLS,2,2,1
1005,2024-10-31,CRAB,THINGS WITH SHELLS,2,4,3
1006,2024-11-01,OWLISH,WORDS ENDING IN BIRDS,3,4,1
1006,2024-11-01,DOVECOTE,WORDS ENDING IN BIRDS,3,2,3
1006,2024-11-01,FALCONRY,WORDS ENDING IN BIRDS,3,1,2
1006,2024-11-01,SWALLOW,WORDS ENDING IN BIRDS,3,3,4
1006,2024-11-01,PLANE,THINGS THAT FLY,0,1,1
1006,2024-11-01,KITE,THINGS THAT FLY,0,3,3
1006,2024-11-01,BALLOON,THINGS THAT FLY,0,2,4
1006,2024-11-01,BIRD,THINGS THAT FLY,0,4,2
1006,2024-11-01,LOOK,TERMS FOR VIEWING,1,1,3
1006,2024-11-01,GANDER,TERMS FOR VIEWING,1,3,2
1006,2024-11-01,PEEP,TERMS FOR VIEWING,1,4,4
1006,2024-11-01,GAZE,TERMS FOR VIEWING,1,2,1
1006,2024-11-01,BONNET,TYPES OF HOODS,2,1,4
1006,2024-11-01,COWL,TYPES OF HOODS,2,3,1
1006,2024-11-01,HIND,TYPES OF HOODS,2,2,2
1006,2024-11-01,ROBIN,TYPES OF HOODS,2,4,3
1007,2024-11-02,BIRTH,WORDS BEFORE "DAY",3,1,3
1007,2024-11-02,SUN,WORDS BEFORE "DAY",3,3,2
1007,2024-11-02,VETERANS,WORDS BEFORE "DAY",3,2,4
1007,2024-11-02,HOLY,WORDS BEFORE "DAY",3,4,1
1007,2024-11-02,PARTY,CELEBRATIONS,0,1,1
1007,2024-11-02,FESTIVAL,CELEBRATIONS,0,3,4
1007,2024-11-02,CARNIVAL,CELEBRATIONS,0,4,3
1007,2024-11-02,GALA,CELEBRATIONS,0,2,2
1007,2024-11-02,MOON,SOLAR SYSTEM BODIES,1,1,4
1007,2024-11-02,STAR,SOLAR SYSTEM BODIES,1,3,1
1007,2024-11-02,SUN,SOLAR SYSTEM BODIES,1,2,3
1007,2024-11-02,PLANET,SOLAR SYSTEM BODIES,1,4,2
1007,2024-11-02,HONEY,TERMS OF RESPECT/AFFECTION,2,1,2
1007,2024-11-02,DEAR,TERMS OF RESPECT/AFFECTION,2,3,3
1007,2024-11-02,SWEETHEART,TERMS OF RESPECT/AFFECTION,2,2,1
1007,2024-11-02,DARLING,TERMS OF RESPECT/AFFECTION,2,4,4
1008,2024-11-03,LEMON,___ GRASS,3,2,1
1008,2024-11-03,BLUE,___ GRASS,3,4,3
1008,2024-11-03,KNEE,___ GRASS,3,1,4
1008,2024-11-03,SODA,___ GRASS,3,3,2
1008,2024-11-03,RED,COLORS,0,1,1
1008,2024-11-03,GREEN,COLORS,0,3,4
1008,2024-11-03,YELLOW,COLORS,0,2,3
1008,2024-10-03,ORANGE,COLORS,0,4,2
1008,2024-11-03,SHIN,PARTS OF THE LEG,1,1,3
1008,2024-11-03,CALF,PARTS OF THE LEG,1,3,1
1008,2024-11-03,THIGH,PARTS OF THE LEG,1,4,4
1008,2024-11-03,KNEE,PARTS OF THE LEG,1,2,2
1008,2024-11-03,COKE,FIZZY DRINKS,2,1,2
1008,2024-11-03,PEPSI,FIZZY DRINKS,2,3,3
1008,2024-11-03,SPRITE,FIZZY DRINKS,2,2,4
1008,2024-11-03,SODA,FIZZY DRINKS,2,4,1
1009,2024-11-04,PRING,SEASONS MINUS ONE LETTER,3,1,2
1009,2024-11-04,UMMER,SEASONS MINUS ONE LETTER,3,3,3
1009,2024-11-04,ALL,SEASONS MINUS ONE LETTER,3,4,1
1009,2024-11-04,INTER,SEASONS MINUS ONE LETTER,3,2,4
1009,2024-11-04,MONTH,PARTS OF THE YEAR,0,1,4
1009,2024-11-04,WEEK,PARTS OF THE YEAR,0,3,1
1009,2024-11-04,DAY,PARTS OF THE YEAR,0,2,2
1009,2024-11-04,YEAR,PARTS OF THE YEAR,0,4,3
1009,2024-11-04,CASH,WORDS RELATED TO MONEY,1,1,1
1009,2024-11-04,BILL,WORDS RELATED TO MONEY,1,3,2
1009,2024-11-04,DOUGH,WORDS RELATED TO MONEY,1,4,4
1009,2024-11-04,BREAD,WORDS RELATED TO MONEY,1,2,3
1009,2024-11-04,BOOK,THINGS WITH 'PAGES',2,1,3
1009,2024-11-04,MAGAZINE,THINGS WITH 'PAGES',2,3,4
1009,2024-11-04,WEB,THINGS WITH 'PAGES',2,2,1
1009,2024-11-04,STORY,THINGS WITH 'PAGES',2,4,2
1010,2024-11-05,JACK,BLACK ___,3,3,4
1010,2024-11-05,MAGIC,BLACK ___,3,1,1
1010,2024-11-05,BOARD,BLACK ___,3,2,3
1010,2024-11-05,OUT,BLACK ___,3,4,2
1010,2024-11-05,PAWN,GAME PIECES,0,1,3
1010,2024-11-05,ROOK,GAME PIECES,0,3,1
1010,2024-11-05,KNIGHT,GAME PIECES,0,2,4
1010,2024-11-05,QUEEN,GAME PIECES,0,4,4
1010,2024-11-05,STRINGS,THINGS THAT CAN BE PULLED,1,1,2
1010,2024-11-05,WEED,THINGS THAT CAN BE PULLED,1,3,2
1010,2024-11-05,TOOTH,THINGS THAT CAN BE PULLED,1,4,1
1010,2024-11-05,TRIGGER,THINGS THAT CAN BE PULLED,1,2,1
1010,2024-11-05,HALT,SYNONYMS FOR "CEASE",2,1,4
1010,2024-11-05,QUIT,SYNONYMS FOR "CEASE",2,3,3
1010,2024-11-05,STOP,SYNONYMS FOR "CEASE",2,2,2
1010,2024-11-05,OUT,SYNONYMS FOR "CEASE",2,4,3

